hidden_dims,activation,dropout_rate,lr,weight_decay,best_val_mse,duration
"[128, 64, 32]",relu,0.0,0.001,0.0,0.325329947071174,23.63444757461548
"[128, 64, 32]",relu,0.0,0.001,0.0001,0.33612466104886946,23.79225492477417
"[128, 64, 32]",relu,0.0,0.0005,0.0001,0.3503064804298933,17.924987316131592
"[256, 128, 64]",relu,0.0,0.0005,0.0,0.3522228489242475,24.509453535079956
"[128, 64, 32]",relu,0.0,0.0005,0.0,0.36084061522200434,14.483025550842285
"[128, 64, 32]",relu,0.2,0.001,0.0,0.36106215120902047,18.03410005569458
"[128, 64, 32]",relu,0.2,0.0005,0.0,0.3638829973162915,31.867663383483887
"[128, 64, 32]",relu,0.2,0.001,0.0001,0.36673726106798926,17.957192182540894
"[128, 64, 32]",relu,0.2,0.0005,0.0001,0.3977821225959817,36.61036944389343
"[256, 128, 64]",relu,0.0,0.0005,0.0001,0.39929526982689395,36.58233714103699
"[256, 128, 64]",relu,0.2,0.0005,0.0,0.407787627104949,15.632868528366089
"[256, 128, 64]",relu,0.2,0.0005,0.0001,0.40806646787535006,14.411188125610352
"[256, 128, 64]",relu,0.2,0.001,0.0001,0.42068283718069704,16.255271434783936
"[256, 128, 64]",relu,0.2,0.001,0.0,0.4265449965030956,15.555295467376709
"[128, 64, 32]",elu,0.2,0.001,0.0,0.4391537581303323,12.852752447128296
"[128, 64, 32]",elu,0.2,0.001,0.0001,0.4397472448127214,12.673488140106201
"[256, 128, 64]",relu,0.0,0.001,0.0001,0.44194889230321543,14.826369047164917
"[128, 64, 32]",elu,0.0,0.001,0.0001,0.4576643123953225,11.271432399749756
"[128, 64, 32]",elu,0.0,0.001,0.0,0.4582495296648306,11.240636825561523
"[256, 128, 64]",relu,0.0,0.001,0.0,0.45854127507185133,17.23294186592102
"[128, 64, 32]",elu,0.2,0.0005,0.0001,0.46988479789221316,13.731582403182983
"[128, 64, 32]",elu,0.2,0.0005,0.0,0.4726087843724924,13.28383469581604
"[256, 128, 64]",elu,0.0,0.0005,0.0001,0.4763649880732061,12.105215311050415
"[256, 128, 64]",elu,0.0,0.0005,0.0,0.4801602112538439,11.88729190826416
"[256, 128, 64]",elu,0.2,0.001,0.0001,0.4810947654937281,12.156375885009766
"[256, 128, 64]",elu,0.2,0.0005,0.0,0.48206548496734264,12.084652662277222
"[256, 128, 64]",elu,0.2,0.0005,0.0001,0.48316165504529496,12.148726463317871
"[256, 128, 64]",elu,0.2,0.001,0.0,0.48486057370516067,12.040337800979614
"[256, 128, 64]",elu,0.0,0.001,0.0001,0.524629158105037,22.18709373474121
"[128, 64, 32]",elu,0.0,0.0005,0.0,0.55202965788755,19.459624767303467
"[128, 64, 32]",elu,0.0,0.0005,0.0001,0.5693146841316569,19.86155867576599
"[256, 128, 64]",elu,0.0,0.001,0.0,0.5793537722385514,22.055227279663086
