trial,hidden_dims,activation,dropout_rate,lr,weight_decay,clip_value,best_val_mse,duration
27,"[256, 128, 64, 32]",tanh,0.06050209793413286,0.0002814457364719679,0.00010333719919396352,3.1473892330575497,0.28411594595403944,43.52801704406738
22,"[256, 128, 64, 32]",relu,0.2994722922301145,0.0009488802690887278,2.1657243324303363e-05,2.1334134523142008,0.2900499854747023,44.31713795661926
15,"[256, 128, 64, 32]",tanh,0.18099822185680547,0.009877602748419076,2.6001310328840147e-05,2.7208212570033394,0.30086483866053343,27.392387866973877
25,"[256, 128, 64, 32]",leaky_relu,0.13252831447002955,0.005557328666174831,0.000185957552100404,1.4530919244893692,0.3044966161251068,19.939258337020874
24,"[256, 128, 64]",relu,0.4889922468386671,0.001162551869972562,2.383864325985857e-05,3.4688787023631535,0.30499821000320965,39.124706983566284
21,"[256, 128, 64, 32]",leaky_relu,0.0764196342748174,0.0033498209947488145,0.00041508504862304037,4.003819153837512,0.30759919706241107,30.68227481842041
17,"[256, 128, 64]",tanh,0.29794421418056405,0.0008631768327352387,5.6786141456152565e-05,2.9895165329687936,0.30911797023250764,38.496240854263306
30,"[128, 64]",tanh,0.12149862119786226,0.0008829698734472085,0.00016641017773854505,0.92446608421347,0.31301207389942437,33.11163854598999
26,"[256, 128, 64, 32]",leaky_relu,0.3564744864095609,0.0006280360883703941,0.0010352872819215917,2.1803922613818223,0.31485582214301255,41.40082120895386
7,"[256, 128, 64, 32]",elu,0.288676072628381,0.0025653325543302467,1.3723761150973317e-05,1.5255422404319607,0.31498970603450016,43.39651656150818
8,"[128, 64, 32]",relu,0.42765886050757346,0.005407136503563501,0.00013815883902560132,2.54034636065796,0.3298712609966288,38.19009613990784
13,"[128, 64, 32]",leaky_relu,0.32771933264744,0.0006183919139195475,0.005541696907894225,2.5648333366432947,0.3348914401013722,32.5773069858551
2,"[256, 128, 64, 32]",relu,0.2806225314693065,0.002704202598944105,0.0012705007354085395,2.3878391943274644,0.33671295997092276,18.781723976135254
18,"[64, 32]",relu,0.3408551845132874,0.001185606743480818,6.316486464842279e-05,3.3843280936091364,0.343176681018923,33.46386170387268
6,"[256, 128, 64, 32]",relu,0.4865578819896853,0.0005715691162711168,0.0004530247129118467,4.232320989138477,0.34467479963943326,44.27360153198242
11,"[256, 128, 64, 32]",leaky_relu,0.3423071254949373,0.004849576788635618,0.0021281377456542,1.5307163238384698,0.3615670676225224,22.97951102256775
20,"[128, 64, 32]",leaky_relu,0.2538408373021626,0.0001632381430029233,0.0007514508511460416,4.287512066776102,0.36480336719089085,38.36238694190979
1,"[256, 128, 64, 32]",relu,0.29524625622451983,0.00011576182342480805,1.9102302561856883e-05,1.5469740202583282,0.3650472110248043,52.9336314201355
9,"[128, 64, 32]",leaky_relu,0.18509048355844132,0.00026243035114435585,6.323149733918612e-05,4.714945644706223,0.3674081010257859,32.528419733047485
23,"[128, 64, 32]",leaky_relu,0.028962583247093776,0.00570189477501576,0.006931836904748035,0.8854405343054546,0.37178569962812025,17.389812707901
4,"[128, 64, 32]",elu,0.07773974990589078,0.008211568960263007,0.00010227833166821111,0.9173562952106655,0.3816802453933144,15.894623756408691
12,"[64, 32]",elu,0.20058239351116447,0.00013563669857655024,0.005487927591039081,3.05231023165326,0.39056710964333485,32.80265498161316
29,"[64, 32]",elu,0.03542867494432672,0.0002992328498374867,0.0010160927085434517,1.4640656331669737,0.3989826015723768,15.080644369125366
5,"[64, 32]",elu,0.4237471831737299,0.0016123230498862893,0.0026386684226116174,3.7837930401221804,0.4056723509031981,21.43052363395691
3,"[256, 128, 64]",elu,0.4047152283389133,0.00010303802350025244,0.002614916078801564,3.6416272774470206,0.40571955200621634,38.840856313705444
10,"[64, 32]",leaky_relu,0.267069938514854,0.0003087605815864256,0.00024365797781209582,1.714765220529251,0.40610468618629514,23.171153783798218
14,"[128, 64, 32]",leaky_relu,0.12331375384699172,0.0013265886227405387,6.14079819737653e-05,3.130636956005932,0.40958598618051495,10.72978663444519
16,"[64, 32]",relu,0.07642065967413053,0.00020891229664466544,0.0011001290694551546,3.183840638293882,0.41427280998353194,18.720524549484253
19,"[64, 32]",elu,0.2173826253345525,0.0008080670769085346,0.007268550004825543,4.441338231701874,0.4565235767561644,10.755198001861572
28,"[128, 64]",leaky_relu,0.0035954194925467697,0.002604245324307874,1.5018318163452276e-05,0.8033014764963837,0.6384972018172883,9.380379915237427
